Code,Food Name,,PROTCNT,FATCE,FIBTG,CHOAVLDF,ENERC,Exchange
O001,"Goat, shoulder",6,20.33±0.50,11.94±0.78,,,787±33,ANIMAL MEAT
O002,"Goat, chops",6,20.39±0.83,5.98±0.37,,,568±26,ANIMAL MEAT
O003,"Goat, legs",6,22.07±0.63,7.94±0.62,,,669±26,ANIMAL MEAT
O004,"Goat, brain",5,13.82±0.80,8.06±0.46,,,533±23,ANIMAL MEAT
O005,"Goat, tongue",4,16.63±0.54,13.68±1.09,,,789±39,ANIMAL MEAT
O006,"Goat, lungs",4,16.86±0.71,3.09±0.56,,,401±32,ANIMAL MEAT
O007,"Goat, heart",5,19.38±0.80,4.40±0.71,,,492±33,ANIMAL MEAT
O008,"Goat, liver",6,20.32±0.92,4.88±0.73,,,526±31,ANIMAL MEAT
O009,"Goat, tripe",5,15.36±0.50,3.36±0.29,,,386±19,ANIMAL MEAT
O010,"Goat, spleen",4,18.45±0.15,2.37±0.36,,,401±14,ANIMAL MEAT
O011,"Goat, kidneys",4,15.60±1.15,2.93±0.18,,,374±18,ANIMAL MEAT
O012,"Goat, tube (small intestine)",3,12.92±0.54,8.26±1.08,,,525±32,ANIMAL MEAT
O013,"Goat, testis",2,12.32,2.39,,,298,ANIMAL MEAT
O014,"Sheep, shoulder",5,18.24±1.41,14.31±1.37,,,840±68,ANIMAL MEAT
O015,"Sheep, chops",4,18.00±1.22,5.15±2.05,,,496±86,ANIMAL MEAT
O016,"Sheep, leg",5,21.42±0.43,8.69±0.74,,,686±25,ANIMAL MEAT
O017,"Sheep, brain",1,13.05,7.29,,,492,ANIMAL MEAT
O018,"Sheep, tongue",1,16.61,13.53,,,783,ANIMAL MEAT
O019,"Sheep, lungs",2,16.12,2.41,,,363,ANIMAL MEAT
O020,"Sheep, heart",1,18.19,3.66,,,445,ANIMAL MEAT
O021,"Sheep, liver",4,22.26±1.46,4.87±0.12,,,559±21,ANIMAL MEAT
O022,"Sheep, tripe",2,16.76,4.05,,,435,ANIMAL MEAT
O023,"Sheep, spleen",1,16.02,3.02,,,384,ANIMAL MEAT
O024,"Sheep, kidneys",2,16.22,2.92,,,384,ANIMAL MEAT
O025,"Beef, shoulder",6,20.56±1.32,14.59±0.86,,,889±12,ANIMAL MEAT
O026,"Beef, chops",4,19.82±0.43,6.71±0.45,,,585±13,ANIMAL MEAT
O027,"Beef, round (leg)",6,22.64±1.03,7.38±0.71,,,658±37,ANIMAL MEAT
O028,"Beef, brain",4,10.55±0.50,9.28±0.92,,,523±42,ANIMAL MEAT
O029,"Beef, tongue",4,15.63±0.67,12.57±0.63,,,731±32,ANIMAL MEAT
O030,"Beef, lungs",3,15.66±0.42,2.28±0.21,,,351±1,ANIMAL MEAT
O031,"Beef, heart",5,17.68±0.51,3.57±0.46,,,433±20,ANIMAL MEAT
O032,"Beef, liver",6,20.73±0.96,3.96±0.45,,,499±30,ANIMAL MEAT
O033,"Beef, tripe",5,13.10±0.29,2.51±0.74,,,316±25,ANIMAL MEAT
O034,"Beef, spleen",6,17.42±0.55,2.22±0.24,,,378±16,ANIMAL MEAT
O035,"Beef, kidneys",3,17.09±0.30,4.01±0.36,,,439±17,ANIMAL MEAT
O036,"Calf, shoulder",2,20.98,7.47,,,633,ANIMAL MEAT
O037,"Calf, chops",2,22.47,3.85,,,524,ANIMAL MEAT
O038,"Calf, round (leg)",2,21.1,6.92,,,615,ANIMAL MEAT
O039,"Calf, brain",2,9.84,7.6,,,448,ANIMAL MEAT
O040,"Calf, tongue",2,17.78,11.76,,,737,ANIMAL MEAT
O041,"Calf, heart",1,18.84,3.75,,,459,ANIMAL MEAT
O042,"Calf, liver",1,21.02,3.95,,,503,ANIMAL MEAT
O043,"Calf, spleen",1,17.71,2.12,,,379,ANIMAL MEAT
O044,"Calf, kidneys",2,15.16,3.5,,,387,ANIMAL MEAT
O045,"Mithun, shoulder",1,19.05,11.14,,,736,ANIMAL MEAT
O046,"Mithun, chops",1,18.19,6.12,,,536,ANIMAL MEAT
O047,"Mithun,  round (leg)",1,19.61,4.1,,,485,ANIMAL MEAT
O048,"Pork, shoulder",6,17.41±0.71,18.83±0.88,,,993±28,ANIMAL MEAT
O049,"Pork, chops",6,19.41±0.68,11.30±1.33,,,748±51,ANIMAL MEAT
O050,"Pork, ham",6,18.83±0.59,18.55±0.78,,,1006±20,ANIMAL MEAT
O051,"Pork, lungs",4,15.13±0.52,2.74±0.23,,,358±16,ANIMAL MEAT
O052,"Pork, heart",4,16.31±0.16,4.87±0.84,,,457±32,ANIMAL MEAT
O053,"Pork, liver",5,19.89±1.16,3.94±0.34,,,484±24,ANIMAL MEAT
O054,"Pork, stomach",1,15.36,7.81,,,550,ANIMAL MEAT
O055,"Pork, spleen",3,15.13±0.79,2.71±0.71,,,357±31,ANIMAL MEAT
O056,"Pork, kidneys",5,14.35±1.03,3.65±0.55,,,379±21,ANIMAL MEAT
O057,"Pork, tube (small intestine)",1,14.96,8.98,,,587,ANIMAL MEAT
O058,"Hare, shoulder",1,21.13,6.58,,,603,ANIMAL MEAT
O059,"Hare, chops",1,20.62,2.55,,,445,ANIMAL MEAT
O060,"Hare, leg",1,20.52,4.16,,,503,ANIMAL MEAT
O061,"Rabbit, shoulder",1,20.01,7.96,,,635,ANIMAL MEAT
O062,"Rabbit, chops",1,22.61,4.88,,,565,ANIMAL MEAT
O063,"Rabbit,  leg",1,21.31,5.99,,,584,ANIMAL MEAT
