code,Food Name,,PROTCNT,FATCE,FIBTG,CHOAVLDF,ENERC,Exchange
G001,"Chillies, green-1 (Capsicum annum)",5,2.62±0.35,0.73±0.02,4.86±0.65,6.32±0.41,191±5,CONDIMENTS AND SPICES-FRESH
G002,"Chillies, green-2 (Capsicum annum)",3,2.28±0.13,0.75±0.04,5.13±0.56,5.27±0.42,167±7,CONDIMENTS AND SPICES-FRESH
G003,"Chillies, green-3 (Capsicum annum)",5,2.38±0.40,0.75±0.02,5.10±0.10,5.23±0.71,169±12,CONDIMENTS AND SPICES-FRESH
G004,"Chillies, green-4 (Capsicum annum)",3,2.33±0.30,0.74±0.01,4.15±0.29,6.63±0.61,190±9,CONDIMENTS AND SPICES-FRESH
G005,"Chillies, green-5 (Capsicum annum)",2,2.01±0.26,0.65±0.03,3.95±0.60,6.64±0.39,180±10,CONDIMENTS AND SPICES-FRESH
G006,"Chillies, green-6 (Capsicum annum)",1,3.01,0.64,5.15,5.31,175,CONDIMENTS AND SPICES-FRESH
G007,"Chillies, green-7 (Capsicum annum)",1,2.12,0.6,4.95,5.61,163,CONDIMENTS AND SPICES-FRESH
G008,"Chillies, green - all varieties (Capsicum annum)",6,2.36±0.34,0.72±0.05,4.77±0.61,5.86±0.77,177±14,CONDIMENTS AND SPICES-FRESH
G009,Coriander leaves (Coriandrum sativum),6,3.52±0.26,0.70±0.06,4.66±0.24,1.93±0.27,130±9,CONDIMENTS AND SPICES-FRESH
G010,Curry leaves (Murraya koenigii),6,7.41±0.26,1.06±0.04,16.83±0.78,4.51±1.79,266±32,CONDIMENTS AND SPICES-FRESH
G011,"Garlic, big clove (Allium sativum)",6,6.92±0.20,0.16±0.02,5.22±0.41,21.93±0.82,518±12,CONDIMENTS AND SPICES-FRESH
G012,"Garlic, small clove (Allium sativum)",3,6.75±0.24,0.14±0.01,5.47±0.07,21.84±0.74,514±8,CONDIMENTS AND SPICES-FRESH
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,6.12,0.16,4.01,23.46,523,CONDIMENTS AND SPICES-FRESH
G014,"Ginger, fresh (Zingiber officinale)",6,2.22±0.16,0.85±0.03,5.36±0.40,8.97±0.28,230±4,CONDIMENTS AND SPICES-FRESH
G015,Mango ginger (Curcuma amada),3,1.45±0.37,0.70±0.03,4.74±0.50,6.98±0.15,177±3,CONDIMENTS AND SPICES-FRESH
G016,Mint leaves (Mentha spicata ),4,4.66±0.15,0.65±0.05,5.89±0.49,2.39±0.36,155±4,CONDIMENTS AND SPICES-FRESH
G017,"Onion, big (Allium cepa)",6,1.50±0.10,0.24±0.03,2.45±0.21,9.56±0.44,201±9,CONDIMENTS AND SPICES-FRESH
G018,"Onion, small (Allium cepa)",5,1.82±0.20,0.16±0.01,1.16±0.19,11.58±0.37,237±4,CONDIMENTS AND SPICES-FRESH
G019,Asafoetida (Ferula assa-foetida),6,6.34±0.53,1.26±0.02,5.13±0.33,71.95±0.71,1387±9,CONDIMENTS AND SPICES-DRY
G020,"Cardamom, green (Elettaria cardamomum)",6,8.10±0.41,2.60±0.15,23.10±0.14,47.76±0.47,1067±16,CONDIMENTS AND SPICES-DRY
G021,"Cardamom, black (Elettaria cardamomum)",4,6.69±0.31,2.80±0.24,23.46±0.58,52.53±1.51,1132±13,CONDIMENTS AND SPICES-DRY
G022,"Chillies, red (Capsicum annum)",6,12.69±0.22,6.40±0.04,31.15±0.04,29.46±0.62,990±8,CONDIMENTS AND SPICES-DRY
G023,Cloves (Syzygium aromaticum),6,5.86±0.21,8.41±0.15,34.52±0.48,18.73±0.39,781±6,CONDIMENTS AND SPICES-DRY
G024,Coriander seeds (Coriandrum sativum),6,10.66±0.33,17.47±0.22,44.81±2.36,12.98±2.62,1125±38,CONDIMENTS AND SPICES-DRY
G025,Cumin seeds (Cuminum cyminum),6,13.91±0.50,16.64±0.15,30.35±0.71,22.62±1.05,1274±19,CONDIMENTS AND SPICES-DRY
G026,Fenugreek seeds (Trigonella foenum graecum),6,25.41±0.24,5.72±0.02,47.55±0.54,10.57±0.57,983±10,CONDIMENTS AND SPICES-DRY
G027,Mace (Myristica fragrans),6,6.24±0.27,24.41±0.20,20.31±0.23,26.51±0.81,1488±12,CONDIMENTS AND SPICES-DRY
G028,Nutmeg (Myristica fragrans),6,6.30±0.24,36.52±0.04,11.99±0.18,27.64±0.70,1940±11,CONDIMENTS AND SPICES-DRY
G029,Omum (Trachyspermum ammi),6,15.89±0.61,21.11±0.08,20.58±0.04,24.53±0.68,1495±7,CONDIMENTS AND SPICES-DRY
G030,Pippali (Piper longum),6,10.53±0.45,2.27±0.02,34.14±0.60,35.70±0.45,906±8,CONDIMENTS AND SPICES-DRY
G031,"Pepper, black (Piper nigrum)",6,10.12±0.40,2.74±0.02,33.16±0.29,36.22±0.45,910±8,CONDIMENTS AND SPICES-DRY
G032,Poppy seeds (Papaver somniferum),6,20.31±0.40,30.38±1.87,26.68±3.04,12.37±1.95,1768±77,CONDIMENTS AND SPICES-DRY
G033,Turmeric powder (Curcuma domestica),6,7.66±0.44,5.03±0.07,21.38±0.29,49.22±0.55,1174±7,CONDIMENTS AND SPICES-DRY
