code,Food Name,,PROTCNT,FATCE,FIBTG,CHOAVLDF,ENERC,Exchange
B001,"Bengal gram, dal (Cicer arietinum)",6,21.55±1.45,5.31±0.06,15.15±0.17,46.72±1.29,1377±10,GRAIN LEGUMES
B002,"Bengal gram, whole (Cicer arietinum)",6,18.77±0.42,5.11±0.11,25.22±0.39,39.56±0.16,1201±9,GRAIN LEGUMES
B003,"Black gram, dal (Phaseolus mungo)",6,23.06±0.59,1.69±0.12,11.93±0.26,51.00±0.80,1356±9,GRAIN LEGUMES
B004,"Black gram, whole (Phaseolus mungo)",6,21.97±0.63,1.58±0.06,20.41±0.06,43.99±0.76,1219±5,GRAIN LEGUMES
B005,"Cowpea, brown (Vigna catjang)",6,20.36±0.59,1.15±0.06,11.54±0.13,54.62±0.49,1340±7,GRAIN LEGUMES
B006,"Cowpea, white (Vigna catjang)",1,21.25,1.14,11.7,53.77,1340,GRAIN LEGUMES
B007,"Field bean, black (Phaseolus vulgaris)",1,19.93,0.92,23.4,43.46,1155,GRAIN LEGUMES
B008,"Field bean, brown (Phaseolus vulgaris)",1,19.9,0.98,22.4,45.24,1184,GRAIN LEGUMES
B009,"Field bean,  white (Phaseolus vulgaris)",5,19.84±1.04,0.94±0.02,22.99±0.83,44.53±1.42,1173±24,GRAIN LEGUMES
B010,"Green gram, dal (Vigna radiata)",6,23.88±0.61,1.35±0.20,9.37±0.38,52.59±0.45,1363±10,GRAIN LEGUMES
B011,"Green gram, whole (Vigna radiata)",6,22.53±0.43,1.14±0.17,17.04±0.38,46.13±0.64,1229±10,GRAIN LEGUMES
B012,"Horse gram, whole (Dolichos biflorus)",6,21.73±0.29,0.62±0.04,7.88±0.02,57.24±0.50,1379±9,GRAIN LEGUMES
B013,Lentil dal (Lens culinaris),6,24.35±1.10,0.75±0.04,10.43±0.39,52.53±1.05,1349±11,GRAIN LEGUMES
B014,"Lentil whole, brown (Lens culinaris)",6,22.49±0.58,0.64±0.02,16.82±1.30,48.47±1.12,1251±23,GRAIN LEGUMES
B015,"Lentil whole, yellowish (Lens culinaris)",2,22.87,0.61,16.66,47.91,1246,GRAIN LEGUMES
B016,Moth bean (Vigna aconitifolia),6,19.75±0.38,1.76±0.09,15.12±0.49,52.09±0.96,1291±16,GRAIN LEGUMES
B017,"Peas, dry (Pisum sativum)",6,20.43±0.79,1.89±0.08,17.01±0.63,48.93±0.45,1269±13,GRAIN LEGUMES
B018,"Rajmah, black (Phaseolus vulgaris)",2,19.01,1.62,17.74,49.59,1247,GRAIN LEGUMES
B019,"Rajmah, brown (Phaseolus vulgaris)",6,19.50±0.84,1.68±0.07,16.95±0.27,48.83±0.59,1245±12,GRAIN LEGUMES
B020,"Rajmah, red (Phaseolus vulgaris)",3,19.91±1.44,1.77±0.04,16.57±0.63,48.61±0.65,1252±14,GRAIN LEGUMES
B021,"Red gram, dal (Cajanus cajan)",6,21.70±0.50,1.56±0.03,9.06±0.30,55.23±0.83,1384±10,GRAIN LEGUMES
B022,"Red gram, whole (Cajanus cajan)",6,20.47±0.72,1.38±0.08,22.84±0.43,42.48±0.77,1146±10,GRAIN LEGUMES
B023,Ricebean (Vigna umbellata ),1,19.97,0.74,13.37,51.26,1265,GRAIN LEGUMES
B024,"Soybean, brown (Glycine max)",6,35.58±0.66,19.82±0.26,21.55±0.66,12.79±0.97,1596±11,GRAIN LEGUMES
B025,"Soybean, white (Glycine max)",1,37.8,19.42,22.63,10.16,1579,GRAIN LEGUMES
