code,Food Name,,PROTCNT,FATCE,FIBTG,CHOAVLDF,ENERC,Exchange
P001,Allathi (Elops machnata),1,21.77,0.98,,,406,MARINE FISH
P002,Aluva (Parastromateus niger),3,21.63±0.28,1.80±0.51,,,434±17,MARINE FISH
P003,Anchovy (Stolephorus indicus),2,19.88,0.78,,,367,MARINE FISH
P004,Ari fish (Aprion virescens ),1,22.01,1.11,,,415,MARINE FISH
P005,Betki (Lates calcarifer),1,15.28,0.29,,,284,MARINE FISH
P006,Black snapper  (Macolor niger),1,19.5,1.24,,,377,MARINE FISH
P007,Bombay duck (Harpadon nehereus),2,13.53,1.03,,,287,MARINE FISH
P008,Bommuralu  (Muraenesox cinerius),3,22.30±0.27,2.87±0.29,,,485±14,MARINE FISH
P009,Cat fish (Tachysurus thalassinus),1,22.18,2.13,,,456,MARINE FISH
P010,Chakla (Rachycentron canadum),5,20.21±0.70,1.68±1.00,,,406±36,MARINE FISH
P011,Chappal (Aluterus monoceros ),1,17.17,0.67,,,317,MARINE FISH
P012,Chelu (Elagatis bipinnulata),2,20.02,0.7,,,366,MARINE FISH
P013,Chembali  (Lutjanus quinquelineatus),1,20.06,1.77,,,406,MARINE FISH
P014,Eri meen (Pristipomoides filamentosus),1,22.3,2.02,,,454,MARINE FISH
P015,Gobro (Epinephelus diacanthus) 362,2,19.37,0.88,,,,MARINE FISH
P016,Guitar fish (Rhinobatus prahli),1,22.56,0.44,,,400,MARINE FISH
P017,Hilsa (Tenualosa ilisha),2,21.8,18.49,,,1083,MARINE FISH
P018,Jallal (Arius sp.),1,21.55,1.46,,,420,MARINE FISH
P019,Jathi vela meen (Lethrinus lentjan),2,22.45,1.92,,,453,MARINE FISH
P020,Kadal bral (Synodus indicus),1,18.72,1.34,,,368,MARINE FISH
P021,Kadali (Nemipterus mesoprion),1,22.07,4.2,,,530,MARINE FISH
P022,Kalamaara (Leptomelanosoma indicum),2,20.89,4.54,,,523,MARINE FISH
P023,Kalava (Epinephelus coioides),1,19.38,1.2,,,374,MARINE FISH
P024,Kanamayya  (Lutjanus rivulatus),2,20.19,0.65,,,367,MARINE FISH
P025,Kannadi paarai  (Alectis indicus),3,22.09±0.24,1.27±0.40,,,423±11,MARINE FISH
P026,Karimeen  (Etroplus suratensis),1,19.68,1.38,,,386,MARINE FISH
P027,Karnagawala  (Anchoa hepsetus),1,19.52,0.84,,,363,MARINE FISH
P028,Kayrai (Thunnus albacores),2,20.15,3,,,454,MARINE FISH
P029,Kiriyan (Atule mate),1,22.49,4.7,,,556,MARINE FISH
P030,Kite fish (Mobula kuhlii),1,23.07,0.56,,,413,MARINE FISH
P031,Korka (Terapon jarbua),1,23.72,3.36,,,528,MARINE FISH
P032,Kulam paarai (Carangoides fulvoguttatus),1,21.62,3.6,,,501,MARINE FISH
P033,Maagaa (Polynemus plebeius),1,20.11,0.67,,,366,MARINE FISH
