code,Food Name,,PROTCNT,FATCE,FIBTG,CHOAVLDF,ENERC,Exchange
H001,Almond (Prunus amygdalus),6,18.41±0.04,58.49±0.04,13.06±0.31,3.04±0.24,2549±4,NUTS AND OIL SEEDS
H002,"Arecanut, dried, brown (Areca catechu)",6,5.78±0.45,4.35±0.03,11.44±0.64,70.42±0.81,1467±12,NUTS AND OIL SEEDS
H003,"Arecanut, dried, red color (Areca catechu)",3,6.46±0.51,4.46±0.03,11.11±0.34,70.27±0.96,1477±9,NUTS AND OIL SEEDS
H004,"Arecanut, fresh (Areca catechu)",2,2.73,5.51,7.63,45,1024,NUTS AND OIL SEEDS
H005,Cashew nut (Anacardium occidentale),6,18.78±0.58,45.20±0.07,3.86±0.47,25.46±0.70,2438±11,NUTS AND OIL SEEDS
H006,"Coconut, kernel, dry (Cocos nucifera)",6,7.27±0.02,63.26±0.30,15.88±0.79,8.01±1.02,2611±9,NUTS AND OIL SEEDS
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,3.84±0.04,41.38±0.42,10.42±0.28,6.30±0.43,1711±13,NUTS AND OIL SEEDS
H008,"Garden cress, seeds (Lepidium sativum)",5,23.36±0.32,23.74±0.09,8.27±0.04,33.66±0.50,1863±3,NUTS AND OIL SEEDS
H009,"Gingelly seeds, black (Sesamum indicum)",6,19.17±0.64,43.10±0.03,17.16±0.19,10.29±0.74,2124±8,NUTS AND OIL SEEDS
H010,"Gingelly seeds, brown (Sesamum indicum)",4,21.61±0.71,43.22±0.08,17.21±0.18,9.76±1.01,2161±8,NUTS AND OIL SEEDS
H011,"Gingelly seeds, white (Sesamum indicum)",5,21.70±0.44,43.05±0.04,16.99±0.30,10.83±0.50,2174±9,NUTS AND OIL SEEDS
H012,Ground nut (Arachis hypogaea),6,23.65±0.85,39.63±0.29,10.38±0.18,17.27±0.33,2176±9,NUTS AND OIL SEEDS
H013,Mustard seeds (Brassica nigra),6,19.51±0.23,40.19±0.21,14.10±0.66,16.80±0.71,2132±16,NUTS AND OIL SEEDS
H014,Linseeds (Linum usitatissimum),6,18.55±0.15,35.67±0.70,26.17±0.39,10.99±0.86,1857±16,NUTS AND OIL SEEDS
H015,"Niger seeds, black (Guizotia abyssinica)",4,18.92±1.61,38.61±0.41,10.93±0.05,22.98±2.64,2144±11,NUTS AND OIL SEEDS
H016,"Niger seeds, gray (Guizotia abyssinica)",5,18.34±2.11,39.53±0.26,10.96±0.14,20.59±1.85,2128±6,NUTS AND OIL SEEDS
H017,Pine seed (Pinus sp.),5,12.55±0.25,48.79±0.10,3.79±0.03,26.77±0.35,2486±3,NUTS AND OIL SEEDS
H018,Pistachio nuts (Pistacia vera),6,23.35±0.35,42.49±0.34,10.64±0.16,15.82±0.52,2257±10,NUTS AND OIL SEEDS
H019,Safflower seeds (Carthamus tinctorius),5,17.66±0.54,30.87±0.98,13.49±0.45,30.18±1.20,1981±20,NUTS AND OIL SEEDS
H020,Sunflower seeds (Helianthus annuus),5,23.53±0.56,51.85±0.07,10.80±0.13,6.85±0.99,2453±8,NUTS AND OIL SEEDS
H021,Walnut (Juglans regia),6,14.92±0.62,64.27±0.05,5.39±0.19,10.14±0.69,2809±3,NUTS AND OIL SEEDS
