code,Food Name,,PROTCNT,FATCE,FIBTG,CHOAVLDF,ENERC,Exchange
D001,Ash gourd (Benincasa hispida),6,0.79±0.06,0.14±0.02,3.37±0.23,2.84±0.22,73±4,OTHER VEGETABLES
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,1.33,0.35,1.55,1.67,68,OTHER VEGETABLES
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,2.86±0.27,0.99±0.06,4.50±0.25,5.16±1.45,179±21,OTHER VEGETABLES
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,1.44±0.17,0.24±0.01,3.78±0.16,2.82±0.32,87±6,OTHER VEGETABLES
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,1.34±0.12,0.24±0.01,3.49±0.18,2.53±0.26,79±5,OTHER VEGETABLES
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,1.61,0.26,3.72,2.29,81,OTHER VEGETABLES
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,0.53±0.05,0.13±0.02,2.12±0.07,1.68±0.33,46±6,OTHER VEGETABLES
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,0.42±0.02,0.12±0.03,2.10±0.15,2.53±0.21,57±3,OTHER VEGETABLES
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,0.49,0.13,2.11,2.25,54,OTHER VEGETABLES
D010,Brinjal-1 (Solanum melongena),1,1.77,0.39,3.57,3.49,114,OTHER VEGETABLES
D011,Brinjal-2 (Solanum melongena),1,1.82,0.34,4.01,2.71,99,OTHER VEGETABLES
D012,Brinjal-3 (Solanum melongena),2,1.36,0.33,4.26,3.38,102,OTHER VEGETABLES
D013,Brinjal-4 (Solanum melongena),4,1.51±0.24,0.31±0.03,4.04±0.65,3.19±0.86,100±18,OTHER VEGETABLES
D014,Brinjal-5 (Solanum melongena),3,1.38±0.26,0.29±0.06,4.13±0.70,4.02±2.01,111±38,OTHER VEGETABLES
D015,Brinjal-6 (Solanum melongena),2,1.46,0.29,3.68,3.29,97,OTHER VEGETABLES
