code,Food Name,,PROTCNT,FATCE,FIBTG,CHOAVLDF,ENERC,Exchange
M001,"Egg, poultry, whole, raw",6,13.28±0.29,9.15±0.14,,,564±3,EGG AND EGG PRODUCTS
M002,"Egg, poultry, white, raw",6,10.84±0.07,0.06±0.01,,,187±1,EGG AND EGG PRODUCTS
M003,"Egg, poultry, yolk, raw",6,15.74±0.33,26.34±0.17,,,1242±9,EGG AND EGG PRODUCTS
M004,"Egg, poultry, whole, boiled",6,13.43±0.28,10.54±0.19,,,618±6,EGG AND EGG PRODUCTS
M005,"Egg, poultry, white, boiled",6,12.37±0.16,0.26±0.02,,,220±3,EGG AND EGG PRODUCTS
M006,"Egg, poultry, yolk, boiled",6,16.13±0.45,27.46±0.24,,,1290±8,EGG AND EGG PRODUCTS
M007,"Egg, poultry, omlet",3,16.53±0.43,11.60±0.22,,,710±4,EGG AND EGG PRODUCTS
M008,"Egg, country hen, whole, raw",1,13.14,13,,,704,EGG AND EGG PRODUCTS
M009,"Egg, country hen, whole, boiled",1,14.43,14.1,,,767,EGG AND EGG PRODUCTS
M010,"Egg, country hen, omlet",1,14.8,16.3,,,855,EGG AND EGG PRODUCTS
M011,"Egg, duck, whole, boiled",1,13.8,13.61,,,738,EGG AND EGG PRODUCTS
M012,"Egg, duck, whole, raw",1,14.6,13.83,,,760,EGG AND EGG PRODUCTS
M013,"Egg, duck, whole, omlet",1,15.1,14.8,,,804,EGG AND EGG PRODUCTS
M014,"Egg, quial, whole, raw",1,12.39,11.46,,,635,EGG AND EGG PRODUCTS
M015,"Egg, quial, whole, boiled",1,13.03,11.5,,,647,EGG AND EGG PRODUCTS
N001,"Chicken, poultry, leg, skinless",4,19.44±0.79,12.64±0.53,,,1605±23,POULTRY
N002,"Chicken, poultry, thigh, skinless",6,18.18±0.57,14.23±0.84,,,836±38,POULTRY
N003,"Chicken, poultry, breast, skinless",5,21.81±0.81,9.00±0.52,,,704±24,POULTRY
N004,"Chicken, poultry, wing, skinless",5,17.42±0.60,13.81±0.26,,,807±17,POULTRY
N005,"Poultry, chicken, liver",1,21.57,4.08,,,518,POULTRY
N006,"Poultry, chicken, gizzard",1,18.22,2.07,,,386,POULTRY
N007,"Country hen, leg, with skin",1,17.01,11.73,,,723,POULTRY
N008,"Country hen, thigh, with skin",1,18.29,12.82,,,785,POULTRY
N009,"Country hen, breast, with skin",1,22.08,10.2,,,753,POULTRY
N010,"Country hen, wing, with skin",1,18.65,12.09,,,764,POULTRY
N011,"Duck, meat, with skin",1,19.07,6.03,,,547,POULTRY
N012,"Emu, meat, skinless",1,22.65,4.62,,,556,POULTRY
N013,"Guinea fowl, meat, with skin",1,20.52,3.24,,,469,POULTRY
N014,"Pigeon, meat, with skin",1,17.94,6.03,,,528,POULTRY
N015,"Quail, meat, skinless",1,20.92,5.95,,,576,POULTRY
N016,"Turkey, leg, with skin",1,20.3,8.15,,,647,POULTRY
N017,"Turkey, thigh, with skin",1,20.46,6.31,,,581,POULTRY
N018,"Turkey, breast, with skin",1,21.96,8.04,,,671,POULTRY
N019,"Turkey, wing, with skin",1,21.91,10.77,,,771,POULTRY
