Code,food_name,gi,gi_category,gi_source
A001,"Amaranth seed, black (Amaranthus cruentus)",50,low,"estimated (food-group based, ICFT aligned)"
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",50,low,"estimated (food-group based, ICFT aligned)"
A003,Bajra (Pennisetum typhoideum),50,low,"estimated (food-group based, ICFT aligned)"
A004,Barley (Hordeum vulgare),50,low,"estimated (food-group based, ICFT aligned)"
A005,Jowar (Sorghum vulgare),50,low,"estimated (food-group based, ICFT aligned)"
A006,"Maize, dry (Zea mays)",50,low,"estimated (food-group based, ICFT aligned)"
A007,"Maize, tender, local (Zea mays)",50,low,"estimated (food-group based, ICFT aligned)"
A008,"Maize, tender, sweet (Zea mays)",50,low,"estimated (food-group based, ICFT aligned)"
A009,Quinoa (Chenopodium quinoa),50,low,"estimated (food-group based, ICFT aligned)"
A010,Ragi (Eleusine coracana),50,low,"estimated (food-group based, ICFT aligned)"
A011,Rice flakes (Oryza sativa ),50,low,"estimated (food-group based, ICFT aligned)"
A012,Rice puffed (Oryza sativa ),50,low,"estimated (food-group based, ICFT aligned)"
A013,"Rice, raw, brown (Oryza sativa )",50,low,"estimated (food-group based, ICFT aligned)"
A014,"Rice, parboiled, milled  (Oryza sativa )",50,low,"estimated (food-group based, ICFT aligned)"
A015,"Rice, raw, milled  (Oryza sativa )",50,low,"estimated (food-group based, ICFT aligned)"
A016,Samai (Panicum miliare),50,low,"estimated (food-group based, ICFT aligned)"
A017,Varagu (Paspalum scrobiculatum),50,low,"estimated (food-group based, ICFT aligned)"
A018,"Wheat flour, refined (Triticum aestivum)",50,low,"estimated (food-group based, ICFT aligned)"
A019,"Wheat flour, atta (Triticum aestivum)",50,low,"estimated (food-group based, ICFT aligned)"
A020,"Wheat, whole (Triticum aestivum)",50,low,"estimated (food-group based, ICFT aligned)"
A021,"Wheat, bulgur (Triticum aestivum)",50,low,"estimated (food-group based, ICFT aligned)"
A022,"Wheat, semolina (Triticum aestivum)",50,low,"estimated (food-group based, ICFT aligned)"
A023,"Wheat, vermicelli (Triticum aestivum)",50,low,"estimated (food-group based, ICFT aligned)"
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",50,low,"estimated (food-group based, ICFT aligned)"
B001,"Bengal gram, dal (Cicer arietinum)",50,low,"estimated (food-group based, ICFT aligned)"
B002,"Bengal gram, whole (Cicer arietinum)",50,low,"estimated (food-group based, ICFT aligned)"
B003,"Black gram, dal (Phaseolus mungo)",50,low,"estimated (food-group based, ICFT aligned)"
B004,"Black gram, whole (Phaseolus mungo)",50,low,"estimated (food-group based, ICFT aligned)"
B005,"Cowpea, brown (Vigna catjang)",50,low,"estimated (food-group based, ICFT aligned)"
B006,"Cowpea, white (Vigna catjang)",50,low,"estimated (food-group based, ICFT aligned)"
B007,"Field bean, black (Phaseolus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
B008,"Field bean, brown (Phaseolus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
B009,"Field bean,  white (Phaseolus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
B010,"Green gram, dal (Vigna radiata)",50,low,"estimated (food-group based, ICFT aligned)"
B011,"Green gram, whole (Vigna radiata)",50,low,"estimated (food-group based, ICFT aligned)"
B012,"Horse gram, whole (Dolichos biflorus)",50,low,"estimated (food-group based, ICFT aligned)"
B013,Lentil dal (Lens culinaris),50,low,"estimated (food-group based, ICFT aligned)"
B014,"Lentil whole, brown (Lens culinaris)",50,low,"estimated (food-group based, ICFT aligned)"
B015,"Lentil whole, yellowish (Lens culinaris)",50,low,"estimated (food-group based, ICFT aligned)"
B016,Moth bean (Vigna aconitifolia),50,low,"estimated (food-group based, ICFT aligned)"
B017,"Peas, dry (Pisum sativum)",50,low,"estimated (food-group based, ICFT aligned)"
B018,"Rajmah, black (Phaseolus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
B019,"Rajmah, brown (Phaseolus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
B020,"Rajmah, red (Phaseolus vulgaris)",50,low,"estimated (food-group based, ICFT aligned)"
B021,"Red gram, dal (Cajanus cajan)",50,low,"estimated (food-group based, ICFT aligned)"
B022,"Red gram, whole (Cajanus cajan)",50,low,"estimated (food-group based, ICFT aligned)"
B023,Ricebean (Vigna umbellata ),50,low,"estimated (food-group based, ICFT aligned)"
